card,topic,keyword
Ace of Cups,career,"new beginnings, emotional fulfillment, creativity, professional growth, intuition, emotional investment"
Ace of Pentacles,career,"new opportunities, career advancement, financial stability, business ventures, new beginnings, prosperity, manifestation"
Ace of Swords,career,"new beginnings, intellectual clarity, professional growth, communication, vision and focus"
Ace of Wands,career,"Growth, Opportunities, Inspiration, Creativity, New Beginnings, new ventures, enthusiasm"
Chariot,career,"ambition, determination, career advancement, leadership, focus"
Death,career,"transformation, career change, dissatisfaction, new opportunities, adaptability"
Devil,career,"trapped, empowerment, limiting beliefs, balance, risk, financial dependence, misuse of authorit"
Eight of Cups,career,"moving on, career change, unfulfilling job, personal growth, decision-making"
Eight of Pentacles,career,"dedication, skill development, career success, craftsmanship, leadership"
Eight of Swords,career,"career dissatisfaction, financial dependency, limited opportunities, education and skills development, innovative problem solving, self-sabotage, fear of change"
Eight of Wands,career,"Progress, Rapid Movement, Opportunities, Career Advancement, Business Trip"
Emperor,career,"leadership, discipline, strategic planning, problem-solving, career success"
Empress,career,"creativity, nurturing, harmonious environment, career growth, generosity"
Five of Cups,career,"loss, career setbacks, transformation, resilience, new opportunities"
Five of Pentacles,career,"financial hardship, job insecurity, workplace isolation, mental health impact, seek support"
Five of Swords,career,"conflict, hostility, poor communication, self-defense, bullying"
Five of Wands,career,"conflict, competition, career challenges, obstacles"
Fool,career,"new beginnings, career change, promotion, innovative ideas, opportunities"
Four of Cups,career,"Introspection, Stagnation, Motivation, Opportunities, Fulfillment"
Four of Pentacles,career,"Stability, insecurity, protectiveness, adaptability, unfulfilling job, fear of losing control, resistance to change"
Four of Swords,career,"rest, stress, mental health, rejuvenation, career reflection"
Four of Wands,career,"Stability, community, collaboration, celebration, positive relationships"
Hanged Man,career,"uncertainty, patience, career transition, introspection, perspective shift"
Hermit,career,"introspection, fulfillment, purpose, balance, solitude"
Hierophant,career,"guidance, tradition, teamwork, education, professional growth"
High Priestess,career,"education, intuition, creativity, instincts, guidance"
Judgement,career,"awakening, purpose, transformation, self-awareness, empowerment"
Justice,career,"integrity, fairness, balance, ethical responsibility, career advancement"
King of Cups,career,"Mentorship, Emotional intelligence, Balance, Leadership, Compassion"
King of Pentacles,career,"successful career, mentorship and guidance, financial prosperity, leadership and management, balance and integrity"
King of Swords,career,"Leadership, Strategic Planning, Integrity, Analytical Skills, Professional Standards"
King of Wands,career,"leadership, success, vision, mentorship, business growth"
Knight of Cups,career,"creative problem-solving, emotional intelligence, career opportunities, artistic expression, diplomacy"
Knight of Pentacles,career,"ambition, dedication, perseverance, stability, planning"
Knight of Swords,career,"ambition, determination, career success, assertiveness, bravery"
Knight of Wands,career,"enthusiasm, new ventures, ambition, leadership, opportunities"
Lovers,career,"partnerships, decision-making, career alignment, relationship dynamics, risk assessment"
Magician,career,"opportunities, decisive action, manifestation, ambition, business"
Moon,career,"uncertainty, unclear objectives, communication, hidden truths, decision-making, career illusions, misleading goals"
Nine of Cups,career,"recognition, career advancement, fulfillment, achievement, opportunity"
Nine of Pentacles,career,"success, financial stability, independence, professional achievement, relaxation"
Nine of Swords,career,"stress and anxiety, career change, mental health support, perspective shift, professional burnout"
Nine of Wands,career,"resilience, perseverance, career challenges, strength, temporary struggles, ambition, perseverance, creativity"
Page of Cups,career,"creativity, imagination, action, communication, reality"
Page of Pentacles,career,"foundation, ambition, opportunities, growth, education"
Page of Swords,career,"Intelligence, ambition, new opportunities, professional growth, skill development"
Page of Wands,career,"new opportunities, success, creativity, risks, eagerness"
Queen of Cups,career,"compassion, emotional support, intuition, career satisfaction, self-care"
Queen of Pentacles,career,"success, practicality, mentorship, financial growth, organization"
Queen of Swords,career,"communication, honesty, integrity, guidance, respect"
Queen of Wands,career,"leadership, determination, energy, career advancement, charisma"
Seven of Cups,career,"options, clarity, practical steps, commitment, career changes"
Seven of Pentacles,career,"evaluation and assessment, patience and perseverance, strategic planning, progress and growth, motivation and determination"
Seven of Swords,career,"deception, strategy, workplace trust, adaptability, professional advancement, risk of sabotage, manipulation in workplace"
Seven of Wands,career,"Persistence, resilience, confidence, integrity, adversity"
Six of Cups,career,"childhood memories, career reflection, past lessons and mistakes, creativity and collaboration, generosity and goodwill"
Six of Pentacles,career,"mentorship, career growth, generosity, recognition, professional support"
Six of Swords,career,"transition, progress, work relief, suitable job, embracing change"
Six of Wands,career,"success, recognition, achievement, promotion, humility"
Star,career,"hope, positivity, creativity, perseverance, manifestation"
Strength,career,"career advancement, courage, inner strength, personal power, self-belief"
Sun,career,"success, fulfillment, optimism, growth, enthusiasm"
Temperance,career,"balance, patience, perseverance, work-life integration, adaptability"
Ten of Cups,career,"harmony, career fulfillment, supportive relationships, personal growth, work-life balance"
Ten of Pentacles,career,"business legacy, financial security, family enterprise, career stability, generational wealth"
Ten of Swords,career,"endings, betrayal, burnout, resilience, gossip, job loss, forced career pivot"
Ten of Wands,career,"burden, delegation, overwhelm, balance, collaboration"
Three of Cups,career,"celebration, teamwork, career advancement, positive office environment, collaboration"
Three of Pentacles,career,"Collaboration, shared goals, diverse skills, teamwork, quality work"
Three of Swords,career,"stress, conflict, job loss, healing, optimism"
Three of Wands,career,"expansion, career opportunities, international endeavors, personal growth, bold choices"
Tower,career,"sudden change, career crisis, transformation opportunities, job instability, workplace stress, rebuilding from scratch"
Two of Cups,career,"harmony, Partnership, collaboration"
Two of Pentacles,career,"balance and harmony, adaptability and flexibility, resourcefulness and multitasking, career decision-making, compensation and risk management"
Two of Swords,career,"conflict, impartiality, career decision, lack of clarity, professional relationships"
Two of Wands,career,"career planning, ambitions, decision-making, embrace change, ideal company"
Wheel of Fortune,career,"Change, Opportunities, Adaptability, Growth, Universe Guidance"
World,career,"Completion and Fulfillment, Career Success and Milestones, Global Awareness and Impact, Celebration and Enjoyment, Future Planning and Aspirations"
Ace of Cups,finance,"financial support, creativity, financial abundance, investment success, emotional fulfillment"
